Authorized Date,Posted Date,Status,Account Name,Description,Primary Category,Detailed Category,Amount
2025-11-04,2025-11-04,Posted,Blue Cash Preferred® ***1009,Disney+,Entertainment,Movies & TV,-19.99
2025-11-03,2025-11-03,Posted,BILT WORLD ELITE MASTERCARD�� ...1152 ***1152,BP,Transfers,Other transfers,-1133.01
2025-11-03,2025-11-03,Posted,Checking - 9631,Robinhood,Transfers,Other transfers,-25.00
2025-11-03,2025-11-03,Posted,BILT WORLD ELITE MASTERCARD�� ...1152 ***1152,Lime,Transportation,Other transportation,-23.76
2025-11-03,2025-11-03,Posted,BILT WORLD ELITE MASTERCARD�� ...1152 ***1152,Firestone Walker T,Food & drink,Restaurants & bars,-70.45
2025-11-03,2025-11-03,Posted,BILT WORLD ELITE MASTERCARD�� ...1152 ***1152,LA Fitness,Health & wellness,Fitness,-39.99
2025-11-03,2025-11-03,Posted,BILT WORLD ELITE MASTERCARD�� ...1152 ***1152,Lyft,Transportation,Taxi & ride shares,-40.93
2025-11-02,2025-11-03,Posted,Prime Visa ***6239,Microsoft,Entertainment,Games,-1.11
2025-11-02,2025-11-03,Posted,BILT WORLD ELITE MASTERCARD�� ...1152 ***1152,Flor's Diner,Food & drink,Restaurants & bars,-116.47
2025-11-02,2025-11-02,Posted,BILT WORLD ELITE MASTERCARD�� ...1152 ***1152,Escape Halloween,Shopping,Gifts,-5.44
2025-11-02,2025-11-03,Posted,BILT WORLD ELITE MASTERCARD�� ...1152 ***1152,7-Eleven,Food & drink,Groceries,-14.32
2025-11-01,2025-11-01,Posted,BILT WORLD ELITE MASTERCARD�� ...1152 ***1152,The Victorian,Food & drink,Restaurants & bars,-42.26
2025-11-01,2025-11-01,Posted,BILT WORLD ELITE MASTERCARD�� ...1152 ***1152,The Victorian,Food & drink,Restaurants & bars,-10.57
2025-11-01,2025-11-03,Posted,BILT WORLD ELITE MASTERCARD�� ...1152 ***1152,In-N-Out Burger,Food & drink,Restaurants & bars,-9.27
2025-11-01,2025-11-01,Posted,Personal Profile,Fernando Sepulveda Hot Dogs,Food & drink,Restaurants & bars,-16.00
2025-11-01,2025-11-01,Posted,BILT WORLD ELITE MASTERCARD�� ...1152 ***1152,Escape Halloween,Shopping,Gifts,-10.88
2025-11-01,2025-11-01,Posted,BILT WORLD ELITE MASTERCARD�� ...1152 ***1152,Escape Halloween,Shopping,Gifts,-57.53
2025-11-01,2025-11-01,Posted,Personal Profile,Sean Richards Sad,Transfers,Other transfers,-10.00
2025-10-31,2025-10-31,Posted,Savings - 7571,Interest,Income,Other income,8.60
2025-10-31,2025-10-31,Posted,Travel ***7571,Interest,Income,Other income,3.20
2025-10-31,2025-10-31,Posted,Shopping ***7571,Interest,Income,Other income,4.80
2025-10-31,2025-10-31,Posted,Build Your Life ***7571,Interest,Income,Other income,0.07
2025-10-31,2025-10-31,Posted,Checking - 9631,Interest,Income,Other income,0.12
2025-10-31,2025-11-01,Posted,Blue Cash Preferred® ***1009,Total Wine & More,Food & drink,Liquor stores,-65.21
2025-10-30,2025-10-31,Posted,Blue Cash Preferred® ***1009,Mitsuwa Mrktplos Angeles,Food & drink,Groceries,-106.13
2025-10-28,2025-10-28,Posted,Checking - 9631,Wells Fargo Bilt Mastercard,Transfers,Other transfers,-3711.22
2025-10-28,2025-10-29,Posted,Blue Cash Preferred® ***1009,Smart & Final,Food & drink,Groceries,-18.48
2025-10-28,2025-10-29,Posted,Blue Cash Preferred® ***1009,ARCO,Transportation,Gas & EV charging,-37.51
2025-10-27,2025-10-27,Posted,Savings - 7571,Transfer to Checking,Transfers,Other transfers,-3800.00
2025-10-27,2025-10-27,Posted,Checking - 9631,Transfer From Savings,Transfers,Other transfers,3800.00
2025-10-27,2025-10-28,Posted,Prime Visa ***6239,Amazon,Shopping,Retail,-12.63
2025-10-27,2025-10-27,Posted,Personal Profile,P2P Transfer,Transfers,Account transfers,280.50
2025-10-27,2025-10-27,Posted,BILT WORLD ELITE MASTERCARD�� ...1152 ***1152,Pequeno Jardim Flor Lisboa,Food & drink,Restaurants & bars,-46.60
2025-10-27,2025-10-27,Posted,BILT WORLD ELITE MASTERCARD�� ...1152 ***1152,Southern Cal Golf Assn,Health & wellness,Fitness,-65.00
2025-10-27,2025-10-29,Posted,Prime Visa ***6239,Amazon,Shopping,Retail,-26.33
2025-10-27,2025-10-29,Posted,Prime Visa ***6239,Amazon,Shopping,Retail,-80.83
2025-10-26,2025-10-26,Posted,BILT WORLD ELITE MASTERCARD�� ...1152 ***1152,ACH,Debt payments,Credit card payments,3711.22
2025-10-25,2025-10-25,Posted,Personal Profile,P2P Transfer,Transfers,Account transfers,280.50
2025-10-25,2025-10-25,Posted,Personal Profile,Adam Greger Chicfla,Shopping,Clothing & accessories,-12.50
2025-10-25,2025-10-25,Posted,BILT WORLD ELITE MASTERCARD�� ...1152 ***1152,GLF,Entertainment,Events & recreation,-21.95
2025-10-25,2025-10-25,Posted,Personal Profile,P2P Transfer,Transfers,Account transfers,280.50
2025-10-25,2025-10-25,Posted,Personal Profile,James Ross Westchester Golf,Entertainment,Events & recreation,-68.00
2025-10-24,2025-10-24,Posted,Checking - 9631,Robinhood,Transfers,Other transfers,-25.00
2025-10-24,2025-10-24,Posted,BILT WORLD ELITE MASTERCARD�� ...1152 ***1152,Escapetix,Entertainment,Events & recreation,-670.90
2025-10-24,2025-10-24,Posted,BILT WORLD ELITE MASTERCARD�� ...1152 ***1152,Booking.com,Travel,Other travel,-452.90
2025-10-24,2025-10-25,Posted,Blue Cash Preferred® ***1009,Northgate Marculver City,Food & drink,Groceries,-16.65
2025-10-23,2025-10-23,Posted,Personal Profile,Adam Greger October Internet Renters Insurance,Insurance,Other insurance,-39.31
2025-10-22,2025-10-23,Posted,Blue Cash Preferred® ***1009,Pavilions,Food & drink,Groceries,-5.99
2025-10-22,2025-10-23,Posted,Prime Visa ***6239,Xbox,Entertainment,Games,-11.03
2025-10-22,2025-10-22,Posted,Savings - 7571,Direct Deposit,Income,Other income,2289.44
2025-10-22,2025-10-22,Posted,BILT WORLD ELITE MASTERCARD�� ...1152 ***1152,Bolt.eud,Transportation,Taxi & ride shares,-26.19
2025-10-22,2025-10-22,Posted,BILT WORLD ELITE MASTERCARD�� ...1152 ***1152,Boba Snow House,Food & drink,Restaurants & bars,-6.25
2025-10-21,2025-10-21,Posted,BILT WORLD ELITE MASTERCARD�� ...1152 ***1152,Vqwnhw,Housing & utilities,Home improvement & repairs,-59.99
2025-10-21,2025-10-23,Posted,Blue Cash Preferred® ***1009,Spotify,Entertainment,Music & audio,-11.99
2025-10-21,2025-10-21,Posted,Personal Profile,P2P Transfer,Transfers,Account transfers,118.00
2025-10-21,2025-10-23,Posted,Prime Visa ***6239,Whole Foods,Food & drink,Groceries,-14.60
2025-10-20,2025-10-20,Posted,Personal Profile,P2P Transfer,Transfers,Account transfers,4.00
2025-10-20,2025-10-20,Posted,Personal Profile,Adam Greger,Food & drink,Restaurants & bars,-45.25
2025-10-20,2025-10-20,Posted,BILT WORLD ELITE MASTERCARD�� ...1152 ***1152,Rvr,Food & drink,Restaurants & bars,-234.84
2025-10-18,2025-10-18,Posted,BILT WORLD ELITE MASTERCARD�� ...1152 ***1152,GLF,Health & wellness,Fitness,-13.80
2025-10-18,2025-10-18,Posted,BILT WORLD ELITE MASTERCARD�� ...1152 ***1152,Speedway,Transportation,Gas & EV charging,-38.64
2025-10-18,2025-10-18,Posted,BILT WORLD ELITE MASTERCARD�� ...1152 ***1152,Manhattan Beach Parkin,Transportation,Parking & tolls,-1.00
2025-10-18,2025-10-18,Posted,BILT WORLD ELITE MASTERCARD�� ...1152 ***1152,Bread Head- Manhat Manhattan Beaca,Food & drink,Restaurants & bars,-23.69
2025-10-18,2025-10-18,Posted,BILT WORLD ELITE MASTERCARD�� ...1152 ***1152,Manhattan Meats,Food & drink,Other food & drink,-19.03
2025-10-18,2025-10-18,Posted,BILT WORLD ELITE MASTERCARD�� ...1152 ***1152,Manhattan Beach Parkin,Transportation,Parking & tolls,-7.50
2025-10-18,2025-10-18,Posted,BILT WORLD ELITE MASTERCARD�� ...1152 ***1152,GLF,Health & wellness,Fitness,-5.00
2025-10-18,2025-10-18,Posted,BILT WORLD ELITE MASTERCARD�� ...1152 ***1152,GLF,Health & wellness,Fitness,-40.98
2025-10-17,2025-10-17,Posted,Blue Cash Preferred® ***1009,Apple,Transfers,Other transfers,-2.99
2025-10-17,2025-10-19,Posted,Prime Visa ***6239,Amazon Prime,Services,Digital services,-16.45
2025-10-17,2025-10-17,Posted,Personal Profile,P2P Transfer,Transfers,Account transfers,65.28
2025-10-16,2025-10-16,Posted,Checking - 9631,Chase Credit Card,Transfers,Other transfers,-38.50
2025-10-16,2025-10-16,Posted,Checking - 9631,American Express,Transfers,Other transfers,-1102.41
2025-10-16,2025-10-17,Posted,Blue Cash Preferred® ***1009,Trader Joe's,Food & drink,Groceries,-65.28
2025-10-15,2025-10-15,Posted,Savings - 7571,Transfer to Checking,Transfers,Other transfers,-1100.00
2025-10-15,2025-10-15,Posted,Checking - 9631,Transfer From Savings,Transfers,Other transfers,1100.00
2025-10-15,2025-10-15,Posted,Checking - 9631,Robinhood,Transfers,Other transfers,-25.00
2025-10-15,2025-10-15,Posted,Prime Visa ***6239,Credit Card Payment,Transfers,Loans & cash advances,38.50
2025-10-15,2025-10-15,Posted,Blue Cash Preferred® ***1009,Credit Card Payment,Debt payments,Credit card payments,1102.41
2025-10-15,2025-10-15,Posted,BILT WORLD ELITE MASTERCARD�� ...1152 ***1152,Californiachickencafe,Food & drink,Restaurants & bars,-12.50
2025-10-14,2025-10-14,Posted,Personal Profile,P2P Transfer,Transfers,Account transfers,30.00
2025-10-13,2025-10-14,Posted,Blue Cash Preferred® ***1009,Pavilions,Food & drink,Groceries,-70.36
2025-10-13,2025-10-13,Posted,BILT WORLD ELITE MASTERCARD�� ...1152 ***1152,Salt & Straw,Food & drink,Restaurants & bars,-14.35
2025-10-12,2025-10-13,Posted,Blue Cash Preferred® ***1009,Chevron,Transportation,Gas & EV charging,-3.24
2025-10-12,2025-10-12,Posted,Personal Profile,P2P Transfer,Transfers,Account transfers,30.00
2025-10-12,2025-10-12,Posted,Personal Profile,P2P Transfer,Transfers,Account transfers,40.00
2025-10-11,2025-10-11,Posted,BILT WORLD ELITE MASTERCARD�� ...1152 ***1152,Dada,Food & drink,Restaurants & bars,-41.30
2025-10-11,2025-10-12,Posted,Blue Cash Preferred® ***1009,Pavilions,Food & drink,Groceries,-35.93
2025-10-11,2025-10-13,Posted,Blue Cash Preferred® ***1009,Latz Sinclairlos Angeles,Food & drink,Restaurants & bars,-42.43
2025-10-11,2025-10-11,Posted,BILT WORLD ELITE MASTERCARD�� ...1152 ***1152,Bar Flores,Food & drink,Restaurants & bars,-40.84
2025-10-10,2025-10-10,Posted,Checking - 9631,Robinhood,Transfers,Other transfers,-25.00
2025-10-10,2025-10-10,Posted,Personal Profile,P2P Transfer,Transfers,Account transfers,30.00
2025-10-10,2025-10-10,Posted,BILT WORLD ELITE MASTERCARD�� ...1152 ***1152,Chevron,Transportation,Gas & EV charging,-3.55
2025-10-09,2025-10-09,Posted,Checking - 9631,Zelle,Income,Other income,30.00
2025-10-09,2025-10-09,Posted,BILT WORLD ELITE MASTERCARD�� ...1152 ***1152,Katsin,Food & drink,Restaurants & bars,-288.86
2025-10-09,2025-10-11,Posted,Blue Cash Preferred® ***1009,Ralphs,Food & drink,Groceries,-22.57
2025-10-08,2025-10-08,Posted,Checking - 9631,Los Angeles Department of Water & Power,Transfers,Other transfers,-786.38
2025-10-08,2025-10-08,Posted,BILT WORLD ELITE MASTERCARD�� ...1152 ***1152,Moonlight Rollerway,Health & wellness,Fitness,-16.00
2025-10-08,2025-10-08,Posted,Personal Profile,P2P Transfer,Transfers,Account transfers,30.00
2025-10-08,2025-10-08,Posted,Savings - 7571,Direct Deposit,Income,Other income,2289.42
2025-10-08,2025-10-08,Posted,Personal Profile,P2P Transfer,Transfers,Account transfers,60.00
2025-10-08,2025-10-08,Posted,Personal Profile,P2P Transfer,Transfers,Account transfers,30.00
2025-10-08,2025-10-08,Posted,Personal Profile,P2P Transfer,Transfers,Account transfers,30.00
2025-10-07,2025-10-08,Posted,Blue Cash Preferred® ***1009,ARCO,Transportation,Gas & EV charging,-39.65
2025-10-07,2025-10-07,Posted,Personal Profile,P2P Transfer,Income,Wages,262.13
2025-10-07,2025-10-07,Posted,Personal Profile,P2P Transfer,Income,Wages,262.13
2025-10-07,2025-10-07,Posted,Personal Profile,P2P Transfer,Transfers,Account transfers,25.00
2025-10-07,2025-10-07,Posted,Personal Profile,Gia Lee Birthday Dinner,Transfers,Account transfers,-145.00
2025-10-06,2025-10-06,Posted,Savings - 7571,Transfer to Checking,Transfers,Other transfers,-786.38
2025-10-06,2025-10-06,Posted,Checking - 9631,Transfer From Savings,Transfers,Other transfers,786.38
2025-10-06,2025-10-06,Posted,BILT WORLD ELITE MASTERCARD�� ...1152 ***1152,The Venue,Food & drink,Restaurants & bars,-412.85
2025-10-05,2025-10-05,Posted,BILT WORLD ELITE MASTERCARD�� ...1152 ***1152,The Arepa Group LLC,Food & drink,Restaurants & bars,-44.85
2025-10-05,2025-10-05,Posted,BILT WORLD ELITE MASTERCARD�� ...1152 ***1152,Eagle Flowers,Shopping,Gifts,-20.00
2025-10-05,2025-10-05,Posted,BILT WORLD ELITE MASTERCARD�� ...1152 ***1152,Oax A California,Food & drink,Restaurants & bars,-8.00
2025-10-04,2025-10-05,Posted,Blue Cash Preferred® ***1009,Disney+,Entertainment,Movies & TV,-16.99
2025-10-04,2025-10-05,Posted,Blue Cash Preferred® ***1009,Milk Bar,Food & drink,Liquor stores,-126.50
2025-10-04,2025-10-06,Posted,Blue Cash Preferred® ***1009,Eb Rainbow,Shopping,Clothing & accessories,-46.00
2025-10-03,2025-10-03,Posted,Checking - 9631,Aidvantage,Transfers,Other transfers,-360.23
2025-10-03,2025-10-03,Posted,BILT WORLD ELITE MASTERCARD�� ...1152 ***1152,LA Fitness,Health & wellness,Fitness,-39.99
2025-10-02,2025-10-02,Posted,Savings - 7571,Transfer to Checking,Transfers,Other transfers,-460.00
2025-10-02,2025-10-02,Posted,Checking - 9631,Transfer From Savings,Transfers,Other transfers,460.00
2025-10-02,2025-10-03,Posted,Blue Cash Preferred® ***1009,Smart & Final,Food & drink,Groceries,-29.48
2025-10-02,2025-10-02,Posted,BILT WORLD ELITE MASTERCARD�� ...1152 ***1152,BP,Transfers,Other transfers,-1100.00
2025-10-02,2025-10-02,Posted,BILT WORLD ELITE MASTERCARD�� ...1152 ***1152,Credit Fee,Bank fees,Interest charge,-22.62
2025-10-02,2025-10-02,Posted,BILT WORLD ELITE MASTERCARD�� ...1152 ***1152,BP,Transfers,Other transfers,-2.49
2025-10-01,2025-10-01,Posted,Savings - 7571,Transfer to Checking,Transfers,Other transfers,-24.88
2025-10-01,2025-10-01,Posted,Checking - 9631,Robinhood,Transfers,Other transfers,-25.00
2025-10-01,2025-10-01,Posted,Checking - 9631,Transfer From Savings,Transfers,Other transfers,24.88
2025-10-01,2025-10-01,Posted,Personal Profile,P2P Transfer,Transfers,Account transfers,19.00
2025-09-30,2025-09-30,Posted,Savings - 7571,Interest,Income,Other income,9.77
2025-09-30,2025-09-30,Posted,Shopping ***7571,Interest,Income,Other income,4.63
2025-09-30,2025-09-30,Posted,Build Your Life ***7571,Interest,Income,Other income,0.06
2025-09-30,2025-09-30,Posted,Travel ***7571,Interest,Income,Other income,3.09
2025-09-30,2025-09-30,Posted,Checking - 9631,Interest,Income,Other income,0.12
2025-09-30,2025-09-30,Posted,Savings - 7571,Transfer to Checking,Transfers,Other transfers,-48.20
2025-09-30,2025-09-30,Posted,Checking - 9631,Wells Fargo Bilt Mastercard,Transfers,Other transfers,-2892.70
2025-09-30,2025-09-30,Posted,Checking - 9631,Transfer From Savings,Transfers,Other transfers,48.20
2025-09-30,2025-10-01,Posted,Prime Visa ***6239,Microsoft,Entertainment,Games,-22.05
2025-09-29,2025-09-29,Posted,Checking - 9631,Costco,Food & drink,Groceries,-74.76
2025-09-29,2025-09-30,Posted,Blue Cash Preferred® ***1009,Pavilions,Food & drink,Groceries,-39.33
2025-09-28,2025-09-28,Posted,Savings - 7571,Transfer to Checking,Transfers,Other transfers,-2900.00
2025-09-28,2025-09-28,Posted,Checking - 9631,Transfer From Savings,Transfers,Other transfers,2900.00
2025-09-28,2025-09-28,Posted,BILT WORLD ELITE MASTERCARD�� ...1152 ***1152,In-N-Out Burger,Food & drink,Restaurants & bars,-19.86
2025-09-28,2025-09-29,Posted,Blue Cash Preferred® ***1009,ARCO,Transportation,Gas & EV charging,-41.42
2025-09-28,2025-09-28,Posted,BILT WORLD ELITE MASTERCARD�� ...1152 ***1152,ACH,Debt payments,Credit card payments,2892.70
2025-09-28,2025-09-29,Posted,Blue Cash Preferred® ***1009,United Pacific,Transportation,Other transportation,-39.99
2025-09-27,2025-09-27,Posted,Personal Profile,P2P Transfer,Transfers,Account transfers,19.00
2025-09-27,2025-09-27,Posted,BILT WORLD ELITE MASTERCARD�� ...1152 ***1152,Late Fee,Bank fees,Other bank fees,-25.00
2025-09-26,2025-09-26,Posted,Checking - 9631,Robinhood,Transfers,Other transfers,-25.00
2025-09-26,2025-09-26,Posted,BILT WORLD ELITE MASTERCARD�� ...1152 ***1152,Stagecoach Greens,Entertainment,Other entertainment,-76.00
2025-09-26,2025-09-26,Posted,BILT WORLD ELITE MASTERCARD�� ...1152 ***1152,Bass Pro Shops,Shopping,Sports & outdoors,-15.29
2025-09-26,2025-09-26,Posted,BILT WORLD ELITE MASTERCARD�� ...1152 ***1152,San Francisco Municipal Transportation Agency,Transportation,Public transit,-24.00
2025-09-26,2025-09-26,Posted,BILT WORLD ELITE MASTERCARD�� ...1152 ***1152,Recreation.gov,Travel,Other travel,-30.00
2025-09-25,2025-09-25,Posted,BILT WORLD ELITE MASTERCARD�� ...1152 ***1152,Robin,Food & drink,Restaurants & bars,-502.18
2025-09-25,2025-09-25,Posted,Blue Cash Preferred® ***1009,Chevron,Transportation,Gas & EV charging,-46.39
2025-09-25,2025-09-25,Posted,BILT WORLD ELITE MASTERCARD�� ...1152 ***1152,111 Minna,Food & drink,Restaurants & bars,-9.61
2025-09-25,2025-09-25,Posted,Personal Profile,P2P Transfer,Transfers,Account transfers,250.00
2025-09-25,2025-09-25,Posted,Personal Profile,Lowe's,Shopping,Retail,-10.00
2025-09-25,2025-09-25,Posted,Personal Profile,Bulan Luna Anniversary Photos,Health & wellness,Personal care,-20.00
2025-09-25,2025-09-25,Posted,BILT WORLD ELITE MASTERCARD�� ...1152 ***1152,ActBlue,Government & charity,Charity,-25.00
2025-09-24,2025-09-24,Posted,BILT WORLD ELITE MASTERCARD�� ...1152 ***1152,Trellis Coworking,Food & drink,Other food & drink,-12.11
2025-09-24,2025-09-24,Posted,Savings - 7571,Direct Deposit,Income,Other income,2289.41
2025-09-24,2025-09-24,Posted,BILT WORLD ELITE MASTERCARD�� ...1152 ***1152,Trellis Coworking,Food & drink,Other food & drink,-25.00
2025-09-24,2025-09-24,Posted,BILT WORLD ELITE MASTERCARD�� ...1152 ***1152,LAZ Parking,Transportation,Parking & tolls,-18.00
2025-09-24,2025-09-24,Posted,BILT WORLD ELITE MASTERCARD�� ...1152 ***1152,Ace Parking,Transportation,Parking & tolls,-16.00
2025-09-24,2025-09-24,Posted,Personal Profile,P2P Transfer,Transfers,Account transfers,70.24
2025-09-24,2025-09-24,Posted,BILT WORLD ELITE MASTERCARD�� ...1152 ***1152,FasTrak,Transportation,Parking & tolls,-25.00
2025-09-24,2025-09-24,Posted,Personal Profile,P2P Transfer,Transfers,Account transfers,70.00
2025-09-23,2025-09-23,Posted,BILT WORLD ELITE MASTERCARD�� ...1152 ***1152,Salt & Straw,Food & drink,Restaurants & bars,-8.95
2025-09-23,2025-09-23,Posted,BILT WORLD ELITE MASTERCARD�� ...1152 ***1152,Via Veneto,Food & drink,Restaurants & bars,-210.72
2025-09-22,2025-09-22,Posted,Personal Profile,Adam Greger September Renters Insurance,Insurance,Other insurance,-39.30
2025-09-22,2025-09-22,Posted,Personal Profile,Daniel Gong Golf Minus Burger And Beer,Food & drink,Restaurants & bars,-48.00
2025-09-21,2025-09-21,Posted,Personal Profile,Do Me Andouille,Food & drink,Restaurants & bars,-15.00
2025-09-21,2025-09-21,Posted,BILT WORLD ELITE MASTERCARD�� ...1152 ***1152,Blarney Stone,Food & drink,Restaurants & bars,-28.00
2025-09-21,2025-09-21,Posted,BILT WORLD ELITE MASTERCARD�� ...1152 ***1152,Chevron,Transportation,Gas & EV charging,-3.43
2025-09-21,2025-09-21,Posted,BILT WORLD ELITE MASTERCARD�� ...1152 ***1152,Yugi Golf Manageme,Entertainment,Events & recreation,-40.00
2025-09-21,2025-09-21,Posted,Personal Profile,💸 to Ljs: big ox burger and slaw,Food & drink,Restaurants & bars,-21.00
2025-09-21,2025-09-21,Posted,BILT WORLD ELITE MASTERCARD�� ...1152 ***1152,Yugi Golf Manageme,Entertainment,Events & recreation,-9.00
2025-09-21,2025-09-22,Posted,Blue Cash Preferred® ***1009,Spotify,Entertainment,Music & audio,-11.99
2025-09-20,2025-09-21,Posted,Blue Cash Preferred® ***1009,Safeway,Food & drink,Groceries,-222.33
2025-09-20,2025-09-20,Posted,Blue Cash Preferred® ***1009,Chevron,Transportation,Gas & EV charging,-44.06
2025-09-19,2025-09-19,Posted,BILT WORLD ELITE MASTERCARD�� ...1152 ***1152,Sactown Trade Co Sacre,Transfers,Investment transfers,-6.51
2025-09-19,2025-09-19,Posted,Blue Cash Preferred® ***1009,RENEWAL MEMBERSHIP FEE,Services,Other services,-95.00
2025-09-19,2025-09-19,Posted,BILT WORLD ELITE MASTERCARD�� ...1152 ***1152,Offbeat Coffee,Food & drink,Other food & drink,-9.16
2025-09-19,2025-09-19,Posted,BILT WORLD ELITE MASTERCARD�� ...1152 ***1152,Candy Heaven,Food & drink,Other food & drink,-2.60
2025-09-18,2025-09-18,Posted,BILT WORLD ELITE MASTERCARD�� ...1152 ***1152,Grapevine Food Mart,Transportation,Gas & EV charging,-10.74
2025-09-18,2025-09-18,Posted,BILT WORLD ELITE MASTERCARD�� ...1152 ***1152,Grapevine Food Mart,Transportation,Gas & EV charging,-35.03
2025-09-18,2025-09-18,Posted,BILT WORLD ELITE MASTERCARD�� ...1152 ***1152,ARCO,Transportation,Gas & EV charging,-4.31
2025-09-18,2025-09-18,Posted,BILT WORLD ELITE MASTERCARD�� ...1152 ***1152,Dave's Hot Chicken,Food & drink,Restaurants & bars,-15.35
2025-09-18,2025-09-18,Posted,BILT WORLD ELITE MASTERCARD�� ...1152 ***1152,Tock At,Food & drink,Restaurants & bars,-209.00
2025-09-18,2025-09-18,Posted,Personal Profile,P2P Transfer,Transfers,Account transfers,20.00
2025-09-17,2025-09-17,Posted,Blue Cash Preferred® ***1009,Apple,Transfers,Other transfers,-2.99
2025-09-17,2025-09-17,Posted,BILT WORLD ELITE MASTERCARD�� ...1152 ***1152,Parking Kiosk,Transportation,Parking & tolls,-5.00
2025-09-17,2025-09-18,Posted,Blue Cash Preferred® ***1009,Northgate Marculver City,Food & drink,Groceries,-4.99
2025-09-17,2025-09-18,Posted,Prime Visa ***6239,Amazon Prime,Services,Digital services,-16.45
2025-09-17,2025-09-17,Posted,Personal Profile,P2P Transfer,Transfers,Account transfers,175.00
2025-09-17,2025-09-17,Posted,BILT WORLD ELITE MASTERCARD�� ...1152 ***1152,Pequeno Jardim Flor Lisboa,Food & drink,Restaurants & bars,-35.57
2025-09-16,2025-09-16,Posted,Checking - 9631,Chase Credit Card,Transfers,Other transfers,-309.77
2025-09-16,2025-09-16,Posted,Savings - 7571,Check,Income,Other income,100.00
2025-09-16,2025-09-16,Posted,Checking - 9631,Robinhood,Transfers,Other transfers,-25.00
2025-09-16,2025-09-16,Posted,Checking - 9631,American Express,Transfers,Other transfers,-458.08
2025-09-16,2025-09-17,Posted,Blue Cash Preferred® ***1009,Pavilions,Food & drink,Groceries,-63.04
2025-09-16,2025-09-16,Posted,BILT WORLD ELITE MASTERCARD�� ...1152 ***1152,Parchment,Services,Education services,-2.90
2025-09-16,2025-09-16,Posted,Personal Profile,Gia Lee Oopsy,Food & drink,Restaurants & bars,-30.00
2025-09-15,2025-09-15,Posted,Savings - 7571,Transfer to Checking,Transfers,Other transfers,-303.00
2025-09-15,2025-09-15,Posted,Checking - 9631,Transfer From Savings,Transfers,Other transfers,303.00
2025-09-15,2025-09-15,Posted,Savings - 7571,Transfer to Checking,Transfers,Other transfers,-460.00
2025-09-15,2025-09-15,Posted,Checking - 9631,Transfer From Savings,Transfers,Other transfers,460.00
2025-09-15,2025-09-15,Posted,Prime Visa ***6239,Credit Card Payment,Transfers,Loans & cash advances,309.77
2025-09-15,2025-09-15,Posted,Blue Cash Preferred® ***1009,Credit Card Payment,Debt payments,Credit card payments,458.08
2025-09-15,2025-09-15,Posted,BILT WORLD ELITE MASTERCARD�� ...1152 ***1152,Californiachickencafe,Food & drink,Restaurants & bars,-11.75
2025-09-15,2025-09-16,Posted,Blue Cash Preferred® ***1009,ARCO,Transportation,Gas & EV charging,-40.80
2025-09-15,2025-09-16,Posted,Blue Cash Preferred® ***1009,Northgate Marculver City,Food & drink,Groceries,-16.93
2025-09-14,2025-09-14,Posted,Blue Cash Preferred® ***1009,Target,Shopping,Retail,-21.79
2025-09-13,2025-09-13,Posted,BILT WORLD ELITE MASTERCARD�� ...1152 ***1152,Kay Jewelers,Shopping,Clothing & accessories,-662.99
2025-09-13,2025-09-13,Posted,BILT WORLD ELITE MASTERCARD�� ...1152 ***1152,Skechers,Shopping,Sports & outdoors,-139.23
2025-09-12,2025-09-12,Posted,Checking - 9631,Robinhood,Transfers,Other transfers,-25.00
2025-09-11,2025-09-11,Posted,BILT WORLD ELITE MASTERCARD�� ...1152 ***1152,Pavilions,Food & drink,Groceries,-58.59
2025-09-11,2025-09-12,Posted,Prime Visa ***6239,Xbox,Entertainment,Games,-77.20
2025-09-10,2025-09-10,Posted,Savings - 7571,Direct Deposit,Income,Other income,2289.43
2025-09-10,2025-09-12,Posted,Prime Visa ***6239,Amazon,Shopping,Retail,-24.84
2025-09-08,2025-09-09,Posted,Blue Cash Preferred® ***1009,Pavilions,Food & drink,Groceries,-32.02
2025-09-08,2025-09-09,Posted,Prime Visa ***6239,Amazon,Shopping,Retail,-32.83
2025-09-07,2025-09-07,Posted,BILT WORLD ELITE MASTERCARD�� ...1152 ***1152,Parkm,Transportation,Other transportation,-10.00
2025-09-07,2025-09-07,Posted,Personal Profile,Connor Grady Waaangs,Transfers,Account transfers,-14.00
2025-09-07,2025-09-07,Posted,BILT WORLD ELITE MASTERCARD�� ...1152 ***1152,Cameo,Entertainment,Other entertainment,-6.00
2025-09-06,2025-09-06,Posted,BILT WORLD ELITE MASTERCARD�� ...1152 ***1152,Cameo,Entertainment,Other entertainment,-206.25
2025-09-06,2025-09-06,Posted,BILT WORLD ELITE MASTERCARD�� ...1152 ***1152,Cameo,Entertainment,Other entertainment,-5.49
2025-09-05,2025-09-05,Posted,Checking - 9631,Aidvantage,Transfers,Other transfers,-356.89
2025-09-05,2025-09-05,Posted,Personal Profile,P2P Transfer,Transfers,Account transfers,175.00
2025-09-05,2025-09-05,Posted,BILT WORLD ELITE MASTERCARD�� ...1152 ***1152,Etsy,Shopping,Gifts,-71.69
2025-09-04,2025-09-04,Posted,BILT WORLD ELITE MASTERCARD�� ...1152 ***1152,Etsy,Shopping,Retail,-46.21
2025-09-04,2025-09-05,Posted,Blue Cash Preferred® ***1009,Disney+,Entertainment,Movies & TV,-16.99
