Authorized Date,Posted Date,Status,Account Name,Description,Primary Category,Detailed Category,Amount
2025-12-16,2025-12-16,Posted,BILT WORLD ELITE MASTERCARD�� ...1152 ***1152,Han Table Barbecue Lisboa Pt,Food & drink,Restaurants & bars,-89.92
2025-12-16,2025-12-16,Posted,BILT WORLD ELITE MASTERCARD�� ...1152 ***1152,Oceanario De,Entertainment,Events & recreation,-10.58
2025-12-16,2025-12-16,Posted,BILT WORLD ELITE MASTERCARD�� ...1152 ***1152,Telecabine Lisboa Pt,Entertainment,Events & recreation,-17.65
2025-12-15,2025-12-15,Posted,Savings - 7571,Transfer to Checking,Transfers,Other transfers,-742.00
2025-12-15,2025-12-15,Posted,Checking - 9631,Transfer From Savings,Transfers,Other transfers,742.00
2025-12-15,2025-12-15,Posted,Checking - 9631,Robinhood,Transfers,Other transfers,-25.00
2025-12-15,2025-12-15,Posted,Prime Visa ***6239,Credit Card Payment,Transfers,Loans & cash advances,360.61
2025-12-15,2025-12-15,Posted,Blue Cash Preferred® ***1009,Credit Card Payment,Debt payments,Credit card payments,366.01
2025-12-15,2025-12-15,Posted,BILT WORLD ELITE MASTERCARD�� ...1152 ***1152,Aldi,Food & drink,Groceries,-41.49
2025-12-14,2025-12-14,Posted,BILT WORLD ELITE MASTERCARD�� ...1152 ***1152,Lisbon Sports Club Lisboa Pt,Health & wellness,Other health & wellness,-10.59
2025-12-14,2025-12-14,Posted,BILT WORLD ELITE MASTERCARD�� ...1152 ***1152,Metropolitano De Lisbo Lisbon Pt,Transportation,Public transit,-2.18
2025-12-13,2025-12-13,Posted,BILT WORLD ELITE MASTERCARD�� ...1152 ***1152,Armazem Das Malhas,Shopping,Clothing & accessories,-157.64
2025-12-13,2025-12-13,Posted,BILT WORLD ELITE MASTERCARD�� ...1152 ***1152,Metropolitano De Lisbo Lisbon Pt,Transportation,Public transit,-6.53
2025-12-13,2025-12-13,Posted,BILT WORLD ELITE MASTERCARD�� ...1152 ***1152,E UM RESTAURANTE LISBOA PT,Food & drink,Restaurants & bars,-79.41
2025-12-12,2025-12-12,Posted,BILT WORLD ELITE MASTERCARD�� ...1152 ***1152,Casa Das Bifanas Lisboa Pt,Food & drink,Restaurants & bars,-12.23
2025-12-12,2025-12-12,Posted,Personal Profile,"Adam Greger ""Utilities, Oct/Nov""",Housing & utilities,Other housing & utilities,194.10
2025-12-12,2025-12-12,Posted,BILT WORLD ELITE MASTERCARD�� ...1152 ***1152,Rafiq Hossin Morol,Transfers,Account transfers,-1.75
2025-12-12,2025-12-12,Posted,BILT WORLD ELITE MASTERCARD�� ...1152 ***1152,Planeta,Food & drink,Restaurants & bars,-20.47
2025-12-11,2025-12-11,Posted,BILT WORLD ELITE MASTERCARD�� ...1152 ***1152,Entropia Lisboa Pt,Food & drink,Restaurants & bars,-82.32
2025-12-11,2025-12-11,Posted,BILT WORLD ELITE MASTERCARD�� ...1152 ***1152,Pequeno,Shopping,Gifts,-35.56
2025-12-11,2025-12-11,Posted,BILT WORLD ELITE MASTERCARD�� ...1152 ***1152,HTTPS //OCEANARIO.PT CIDADE PT,Entertainment,Events & recreation,-78.12
2025-12-10,2025-12-10,Posted,Checking - 9631,Los Angeles Department of Water & Power,Transfers,Other transfers,-582.31
2025-12-09,2025-12-09,Posted,Savings - 7571,Transfer to Checking,Transfers,Other transfers,-600.00
2025-12-09,2025-12-09,Posted,Checking - 9631,Transfer From Savings,Transfers,Other transfers,600.00
2025-12-09,2025-12-09,Posted,BILT WORLD ELITE MASTERCARD�� ...1152 ***1152,Aldi,Food & drink,Groceries,-60.89
2025-12-09,2025-12-09,Posted,Personal Profile,"Carson Yee ""Utilities, Oct/Nov""",Housing & utilities,Other housing & utilities,194.10
2025-12-08,2025-12-08,Posted,Personal Profile,Gia Lee ⛳,Health & wellness,Other health & wellness,-91.00
2025-12-08,2025-12-08,Posted,BILT WORLD ELITE MASTERCARD�� ...1152 ***1152,Temas Medievais Lisboa,Food & drink,Restaurants & bars,-8.17
2025-12-07,2025-12-07,Posted,BILT WORLD ELITE MASTERCARD�� ...1152 ***1152,Secret Garden Lx,Food & drink,Restaurants & bars,-11.67
